model, dataset, train_accuracy, test_accuracy, validation_precision, validation_recall, validation_accuracy
nn, full, 98.5, 98.5, 98.4, 95.6, 97.0
nn, real, 100.0, 90.0, 96.4, 94.2, 95.3
nn, spikes9, 99.5, 96.5, 97.6, 98.0, 97.8
nn, plateaus9, 99.5, 98.0, 93.6, 98.0, 95.8
nn, spikes5, 100.0, 99.0, 98.4, 97.0, 97.7
nn, plateaus5, 99.375, 95.5, 97.8, 98.2, 98.0
nn, spikes3, 100.0, 99.0, 96.4, 94.2, 95.3
nn, plateaus3, 99.875, 98.0, 97.8, 97.0, 97.4
svm, full, 98.0, 99.0, 98.2, 96.4, 97.3
svm, real, 100.0, 100.0, 97.0, 95.6, 96.3
svm, spikes9, 98.875, 95.5, 97.8, 96.6, 97.2
svm, plateaus9, 98.625, 98.0, 98.2, 96.8, 97.5
svm, spikes5, 99.375, 98.0, 98.0, 96.4, 97.2
svm, plateaus5, 97.625, 96.0, 98.0, 96.2, 97.1
svm, spikes3, 99.75, 99.5, 97.0, 94.8, 95.9
svm, plateaus3, 99.0, 98.0, 97.6, 97.0, 97.3
tree, full, 96.25, 97.5, 92.4, 97.2, 94.8
tree, real, 95.0, 95.0, 83.4, 98.8, 91.1
tree, spikes9, 97.5, 96.5, 90.0, 90.8, 90.4
tree, plateaus9, 96.25, 95.0, 96.8, 92.2, 94.5
tree, spikes5, 98.0, 98.0, 96.0, 87.4, 91.7
tree, plateaus5, 97.25, 96.5, 95.4, 94.0, 94.7
tree, spikes3, 97.875, 97.5, 96.0, 74.2, 85.1
tree, plateaus3, 98.625, 97.0, 97.6, 88.8, 93.2
